idnumber,smiles,smiles_desalted,hac,mw,alogp,hba,hbd,psa,rotb,arom,alerts
HMDB0000058,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,22,329.209,-0.8174000000000006,10,3,154.84,1,2,1
HMDB0000343,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O,21,286.37100000000004,3.5230000000000024,3,2,57.53,0,1,1
HMDB0000372,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2=O,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2=O,21,284.355,2.9964000000000013,3,1,54.37,0,1,1
HMDB0000406,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2O,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2O,21,286.371,2.788200000000001,3,2,57.53,0,1,0
HMDB0000416,CC(=O)C1(O)CCC2C3CC=C4CC(OS(=O)(=O)[O-])CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CC=C4CC(OS(=O)(=O)[O-])CCC4(C)C3CCC21C,28,411.5400000000003,3.114700000000002,6,1,103.73,3,0,3
HMDB0000431,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,21,288.38699999999994,2.5800000000000005,3,3,60.69,0,1,0
HMDB0000512,CC(=O)NC(Cc1ccccc1)C(=O)O,CC(=O)NC(Cc1ccccc1)C(=O)O,15,207.22899999999998,0.8183999999999998,3,2,66.4,4,1,0
HMDB0000594,[NH3+]C(CCC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O,[NH3+]C(CCC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O,21,295.31500000000005,-0.7261999999999982,5,4,131.34,8,1,0
HMDB0000637,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,32,449.63200000000035,3.594100000000001,5,4,106.86000000000001,6,0,0
HMDB0000667,[NH3+]C(Cc1ccc(Oc2ccc(O)cc2)cc1)C(=O)O,[NH3+]C(Cc1ccc(Oc2ccc(O)cc2)cc1)C(=O)O,20,274.296,1.4220999999999997,4,3,94.40000000000002,5,2,0
HMDB0000671,O=C(O)C(O)Cc1c[nH]c2ccccc12,O=C(O)C(O)Cc1c[nH]c2ccccc12,15,205.21300000000002,1.1559000000000004,3,3,73.32,3,2,0
HMDB0000706,[NH3+]C(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,[NH3+]C(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,20,281.288,-1.1162999999999983,5,4,131.33999999999997,7,1,0
HMDB0000715,O=C(O)c1cc(=O)c2ccccc2[nH]1,O=C(O)c1cc(=O)c2ccccc2[nH]1,14,189.17000000000002,1.2262999999999997,3,2,70.16,1,2,0
HMDB0000722,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,33,482.7070000000004,4.0839000000000025,5,2,106.53,7,0,1
HMDB0000763,O=C(O)Cc1c[nH]c2ccc(O)cc12,O=C(O)Cc1c[nH]c2ccc(O)cc12,14,191.186,1.5006,3,3,73.32,2,2,0
HMDB0000839,C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3,C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3,24,310.35999999999996,4.655600000000003,2,2,57.36,0,5,0
HMDB0000842,O=C(O)c1ccc2ccccc2n1,O=C(O)c1ccc2ccccc2n1,13,173.171,1.9329999999999998,3,1,50.19,1,2,0
